input_adm1,clean_adm1
APULIA,PUGLIA
LOMBARDY,LOMBARDIA
SICILY,SICILIA
SARDINIA,SARDEGNA
COLOMBO,WESTERN_PROVINCE
BRNO,JIHOMORAVSKY_REGION
USTI_NAD_LABEM,USTECKY_REGION
CENTRAL_BOHEMIAN_REGION,STREDOCESKY_REGION
LEUVEN,FLANDERS
COUNTIES_MANUKAU,AUCKLAND
ATHENS,ATTICA
GHENT,FLANDERS
WALLIS,VALAIS
ST_GALLEN,SANKT_GALLEN
ST._GALLEN,SANKT_GALLEN
GRAUBUNDEN,GRISONS
NAMUR,WALLONIA
LIEGE,WALLONIA
MARTIN,ZILINA
MARTIN_REGION,ZILINA
MALACKY,BRATISLAVA
WALLONIE,WALLONIA
ZONHOVEN,FLANDERS
BRUSSEL,BRUSSELS
ANDERLECHT,BRUSSELS
HASSELT,FLANDERS
ANTWERP,FLANDERS
ANTWERPEN,FLANDERS
JEDDAH,MAKKAH
MOL,FLANDERS
ROESELARE,FLANDERS
BASEL_LAND,BASEL_LANDSCHAFT
SCHAARBEEK,BRUSSELS
PAYS_DE_LOIRE,PAYS_DE_LA_LOIRE
MECKLENBURG_WESTERN_POMERANIA,MECKLENBURG_VORPOMMERN
GENK,FLANDERS
WALLOON_BRABANT,WALLONIA
FLEMISH_BRABANT,FLANDERS
HAINAUT,WALLONIA
DEURNE,FLANDERS
BRUSSELS_CAPITAL_REGION,BRUSSELS
SOUTHERN_COAST,SOUTH_DISTRICT
TVRDOSIN,ZILINA
NAMESTOVO,ZILINA
REGION_VASTRA_GOTALAND,VASTRA_GOTALAND
REGION_STOCKHOLM,STOCKHOLM
JAMTLAND_HARJEDALEN,JAMTLAND
MALOPOLSKIE,MALOPOLSKA
WIELKOPOLSKIE,WIELKOPOLSKA
PROVENCE_ALPES_COTE_D'AZUR,PROVENCE_ALPES_COTE_DAZUR
MARSEILLE,PROVENCE_ALPES_COTE_DAZUR
KAUNO_APSKRITIS,KAUNO
MARIJAMPOLES_APSKRITIS,MARIJAMPOLE
UTENOS_APSKRITIS,UTENA
VILNIAUS_APSKRITIS,VILNIUS
VILNIAUS,VILNIUS
KOROSKA,CARINTHIA
OKAND_(BSE00),
REYKJAVIK,CAPITAL_REGION
ISLAS_BALEARES,BALEAR_ISLANDS
THE_CITY_OF_ZAGREB,ZAGREB
ZAGREB_COUNTY,ZAGREB
THE_ZAGREB_COUNTY,ZAGREB
ANDALUSIA,ANDALUCIA
GENEVE,GENEVA
