country_code	adm1
YEM	'Amran_Governorate
SAU	'Asir
TON	'Eua
AZE	??????????_?????_(Martakert_Province)
AZE	?????????_?????
AZE	????????_????
AZE	????????_?????
AZE	??????_?????
MNE	?Abljak_Municipality
YEM	?Adan_Governorate
MLT	?Al_Kirkop
TUR	?Anliurfa
MNE	?Avnik_Municipality
MLT	?Ebbu?
MLT	?Ejtun
TUR	?Irnak
MLT	?Urrieq
TUR	?Zm?R
WSM	A'Ana
PRY	A'Eembucu
TUR	A?Ri
CHE	Aargau
NGA	Abia
ITA	Abruzzo
AZE	Abseron_Rayonu
ARE	Abu_Dhabi
YEM	Abyan_Governorate
IDN	Aceh
BHS	Acklins
MYT	Acoua
SMR	Acquaviva
BRA	Acre
OMN	Ad_Dakhiliyah
YEM	Ad_Dali'_Governorate
NGA	Adamawa
TUR	Adana
ETH	Addis_Ababa
MDV	Addu
TUR	Adiyaman
MRT	Adrar
RUS	Adygea
ETH	Afar
TUR	Afyonkarah?Sar
NER	Agadez
GUM	Agana_Heights
GUM	Agat
AZE	Agcab?Di_Rayonu
AZE	Agdam_Rayonu
AZE	Agdas_Rayonu
NOR	Agder
GRC	Agion_Oros
AZE	Agstafa_Rayonu
AZE	Agsu_Rayonu
MEX	Aguascalientes
TKM	Ahal_Region
KWT	Ahmadi
SLV	Ahuachapan
JPN	Aichi
WSM	Aiga_I_Le_Tai
TLS	Aileu
MHL	Ailinglaplap
MHL	Ailuk
PLW	Aimeliik
DZA	Ain_Defla
DZA	Ain_Temouchent
TLS	Ainaro
PLW	Airai
NRU	Aiwo
JOR	Ajlun
ARE	Ajman
JPN	Akita
KAZ	Akmola_Region
TUR	Aksaray
KAZ	Aktobe_Region
NGA	Akwa_Lbom
IRQ	Al_Anbar
KWT	Al_Asimah
SAU	Al_Bahah
OMN	Al_Batinah
YEM	Al_Bayda'_Governorate
QAT	Al_Daayen
SYR	Al_Hasakah
YEM	Al_Hudaydah_Governorate
SAU	Al_Jawf
YEM	Al_Jawf_Governorate
QAT	Al_Khor_And_Al_Thakhira
YEM	Al_Mahrah_Governorate
YEM	Al_Mahwit_Governorate
IRQ	Al_Qadisiyah
SAU	Al_Qassim
QAT	Al_Rayyan
QAT	Al_Shamal
EGY	Al_Sharqia
QAT	Al_Sheehaniya
LBY	Al_Wahat
QAT	Al_Wakra
OMN	Al_Wusta
USA	Alabama
BRA	Alagoas
FIN	Aland_Islands
MDG	Alaotra_Mangoro
USA	Alaska
ROU	Alba
CAN	Alberta
IRN	Alborz
SYR	Aleppo
EGY	Alexandria
DZA	Algiers
DJI	Ali_Sabieh
BEN	Alibori
MDV	Alif_Alif
KAZ	Almaty
KAZ	Almaty_Region
GTM	Alta_Verapaz
RUS	Altai_Krai
RUS	Altai_Republic
PRY	Alto_Paraguay
PRY	Alto_Parana
LTU	Alytus
PRY	Amambay
BRA	Amapa
TUR	Amasya
BRA	Amazonas
VEN	Amazonas_State
USA	American_Samoa
ETH	Amhara
JOR	Amman
THA	Amnat_Charoen_Province
MDG	Amoron'I_Mania
RUS	Amur
VNM	An_Giang
NRU	Anabar
MDG	Analamanga
MDG	Analanjirofo
NGA	Anambra
PER	Ancash
ESP	Andalucia
IND	Andaman_And_Nicobar_Islands
IND	Andhra_Pradesh
UZB	Andijan_Region
AND	Andorra_La_Vella
MNE	Andrijevica_Municipality
MDG	Androy
VGB	Anegada
NRU	Anetan
THA	Ang_Thong_Province
PLW	Angaur
CHN	Anhui
COM	Anjouan
TUR	Ankara
DZA	Annaba
GNQ	Annobon
MDG	Anosy
SYC	Anse_Aux_P
SYC	Anse_Boile
SYC	Anse_Etoil
LCA	Anse_La_Raye
SYC	Anse_Royal
ERI	Anseba_Region
TUR	Antalya
COL	Antioquia
CHL	Antofagasta
VEN	Anzoategui
JPN	Aomori
CHE	Appenzell_Ausserrhoden
CHE	Appenzell_Innerrhoden
VEN	Apure
PER	Apurimac
JOR	Aqaba
SYR	Ar_Raqqah
ROU	Arad
ARM	Aragatsotn
ESP	Aragon
VEN	Aragua
ARM	Ararat
COL	Arauca
COL	Archipielago_De_San_Andres,_Providencia_Y_Santa_Catalina
IRN	Ardabil
TUR	Ardahan
PER	Arequipa
ROU	Arges
TUN	Ariana
CHL	Arica_Y_Parinacota
USA	Arizona
USA	Arkansas
MNG	Arkhangai
RUS	Arkhangelsk
ARM	Armavir
MHL	Arno
DJI	Arta
CUB	Artemisa
HTI	Artibonite_Department
URY	Artigas
TUR	Artv?N
ABW	Aruba
IND	Arunachal_Pradesh
TZA	Arusha
SYR	As_Suwayda
GUM	Asan
OMN	Ash_Sharqiyah
GHA	Ashanti
TKM	Ashgabat
MRT	Assaba
IND	Assam
KAZ	Astana
AZE	Astara_Rayonu
RUS	Astrakhan
ESP	Asturias
PRY	Asuncion
EGY	Aswan
EGY	Asyut
CHL	Atacama
BEN	Atakora
COL	Atlantico
HND	Atlantida
BEN	Atlantique
MDG	Atsimo_Andrefana
MDG	Atsimo_Atsinanana
MDG	Atsinanana
LAO	Attapeu
MLT	Attard
GRC	Attica
WSM	Atua
KAZ	Atyrau_Region
SYC	Au_Cap
NZL	Auckland
MHL	Aur
AUS	Australian_Capital_Territory
PHL	Autonomous_Region_In_Muslim_Mindanao
GEO	Autonomous_Republic_Of_Abkhazia
GEO	Autonomous_Republic_Of_Adjara
UKR	Autonomous_Republic_Of_Crimea
FRA	Auvergne_Rhone_Alpes
GRL	Avannaata
PRT	Aveiro
SOM	Awdal
PER	Ayacucho
TUR	Aydin
MMR	Ayeyarwady
OMN	Az_Zahirah
PAK	Azad_Kashmir
DOM	Azua
ECU	Azuay
TUR	B?Lec?K
AZE	B?Rd?_Rayonu
TUR	B?Tl?S
VNM	Ba_Ria___Vung_Tau
MDV	Baa
AZE	Bab?K_Rayonu
IRQ	Babil
LCA	Babonneau
VNM	Bac_Giang
VNM	Bac_Kan
VNM	Bac_Lieu
VNM	Bac_Ninh
ROU	Bacau
HUN	Bacs_Kiskun
AFG	Badakhshan
DEU	Baden_Wurttemberg
AFG	Badghis
GNB	Bafata
IRQ	Baghdad
AFG	Baghlan
MMR	Bago_East
MMR	Bago_West
BRA	Bahia
TCD	Bahr_El_Gazel
SYC	Baie_Lazar
SYC	Baie_Saint
NRU	Baitsi
MEX	Baja_California
MEX	Baja_California_Sur
GTM	Baja_Verapaz
AZE	Baki_Inzibati_?Razisi
SOM	Bakool
AZE	Balak?N_Rayonu
ESP	Balear_Islands
IDN	Bali
TUR	Balikes?R
TKM	Balkan_Region
AFG	Balkh
PAK	Balochistan
JOR	Balqa
MLT	Balzan
LIE	Balzers
MLI	Bamako
CAF	Bamingui_Bangoran
AFG	Bamyan
SOM	Banadir
MYT	Bandraboua
MYT	Bandrele
IDN	Bangka_Belitung_Islands
THA	Bangkok
CAF	Bangui
GMB	Banjul
SVK	Banska_Bystrica
IDN	Banten
KHM	Bantey_Meanchey
DOM	Baoruco
MNE	Bar_Municipality
DOM	Barahona
HUN	Baranya
ATG	Barbuda
SOM	Bari
GUY	Barina_Waini
VEN	Barinas
KEN	Baringo
BGD	Barisal
GUM	Barrigada
TUR	Bartin
CIV	Bas_Sassandra
CHE	Basel_Landschaft
CHE	Basel_Stadt
RUS	Bashkortostan
ITA	Basilicata
ESP	Basque_Country
IRQ	Basra
GMB	Basse
CAF	Basse_Kotto
GLP	Basse_Terre
TCD	Batha
KGZ	Batken_Region
TUR	Batman
DZA	Batna
KHM	Battambang
TLS	Baucau
NGA	Bauchi
DEU	Bavaria
SOM	Bay
HND	Bay_Islands
NZL	Bay_Of_Plenty
MNG	Bayan_Olgii
MNG	Bayankhongor
TUR	Bayburt
NGA	Bayelsa
SYC	Beau_Vallo
DZA	Bechar
EGY	Beheira
CHN	Beijing
LBN	Beirut_Governorate
PRT	Beja
DZA	Bejaia
HUN	Bekes
SYC	Bel_Air
SYC	Bel_Ombre
BRN	Belait
RUS	Belgorod
SRB	Belgrade
BLZ	Belize_District
TUN	Ben_Arous
VNM	Ben_Tre
MDA	Bender
ETH	Beneshangul_Gumu
LBY	Benghazi
IDN	Bengkulu
AGO	Bengo
AGO	Benguela
BOL	Beni
MAR	Beni_Mellal_Khenifra
EGY	Beni_Suef
NGA	Benue
LBN	Beqaa_Governorate
MNE	Berane_Municipality
ALB	Berat_County
LSO	Berea_District
DEU	Berlin
CHE	Bern
BHS	Berry_Islands
MDG	Betsiboka
AZE	Beyl?Qan_Rayonu
AGO	Bie
IND	Bihar
ROU	Bihor
MNE	Bijelo_Polje_Municipality
AZE	Bil?Suvar_Rayonu
BHS	Bimini
TUR	Bingol
VNM	Binh_Dinh
VNM	Binh_Duong
VNM	Binh_Phuoc
VNM	Binh_Thuan
CHL	Biobio
GNQ	Bioko_Norte
GNQ	Bioko_Sur
GNB	Biombo
MLT	Bir?Ebbu?A
MLT	Birgu
MLT	Birkirkara
DZA	Biskra
GNB	Bissau
ROU	Bistrita_Nasaud
TUN	Bizerte
HRV	Bjelovar_Bilogora
BHS	Black_Point
MUS	Black_River
BGR	Blagoevgrad
SWE	Blekinge
DZA	Blida
SDN	Blue_Nile_State
CPV	Boa_Vista
NIC	Boaco
TLS	Bobonaro
CYM	Bodden_Town
NRU	Boe
MDG	Boeny
COL	Bogota_Capital_District
GIN	Boke
LAO	Bokeo
GNB	Bolama
LAO	Bolikhamsai
VEN	Bolivar
TUR	Bolu
KEN	Bomet
LBR	Bomi
BES	Bonaire
LBR	Bong
MDG	Bongolava
PRY	Boqueron
SRB	Bor_District
DZA	Bordj_Bou_Arreridj?
SMR	Borgo_Maggiore
BEN	Borgou
TCD	Borkou
NGA	Borno
HUN	Borsod_Abauj_Zemplen
ROU	Botosani
BFA	Boucle_Du_Mouhoun
MYT	Boueni
COG	Bouenza
PNG	Bougainville
DZA	Bouira
DZA	Boumerdes
FRA	Bourgogne_Franche_Comte
COL	Boyaca
PRT	Braga
PRT	Braganca
ROU	Braila
MRT	Brakna
DEU	Brandenburg
SRB	Branicevo_District
ROU	Brasov
SVK	Bratislava
CPV	Brava
COG	Brazzaville
BIH	Brcko_District_Of_Bosnia_And_Herzegowina
DEU	Bremen
BLR	Brest_Region
FRA	Bretagne
MDA	Briceni_District
GMB	Brikama
CAN	British_Columbia
HRV	Brod_Posavina
SUR	Brokopondo
GHA	Brong_Ahafo
BRN	Brunei_Muara
BEL	Brussels
RUS	Bryansk
NRU	Buada
BDI	Bubanza
ROU	Bucharest
HUN	Budapest
MNE	Budva_Municipality
THA	Bueng_Kan_Province
ARG	Buenos_Aires
BDI	Bujumbura_Mairie
BDI	Bujumbura_Rural
UZB	Bukhara_Region
ZWE	Bulawayo
MNG	Bulgan
BTN	Bumthang_District
KEN	Bungoma
TUR	Burdur
BGR	Burgas
AUT	Burgenland
THA	Buri_Ram_Province
TUR	Bursa
BDI	Bururi
RUS	Buryatia
KOR	Busan
IRN	Bushehr
KEN	Busia
LSO	Butha_Buthe_District
LBY	Butnan
ROU	Buzau
AZE	C?Lilabad_Rayonu
VNM	Ca_Mau
ECU	Caa'Ar
PRY	Caaguazu
PRY	Caazapa
SLV	Cabanas
AGO	Cabinda
MOZ	Cabo_Delgado
GNB	Cacheu
EGY	Cairo
PER	Cajamarca
ITA	Calabria
ROU	Calarasi
COL	Caldas
USA	California
PER	Callao
CUB	Camaguey
ITA	Campania
MEX	Campeche
VNM	Can_Tho
TUR	Canakkale
LCA	Canaries
ESP	Canary_Islands
URY	Canelones
AND	Canillo
PRY	Canindeyu
TUR	Cankiri
BDI	Cankuzo
ESP	Cantabria
NZL	Canterbury
LUX	Canton_Capellen
LUX	Canton_Clervaux
LUX	Canton_Diekirch
LUX	Canton_Echternach
LUX	Canton_Esch_Sur_Alzette
LUX	Canton_Grevenmacher
LUX	Canton_Luxembourg
LUX	Canton_Mersch
LUX	Canton_Redange
LUX	Canton_Remich
LUX	Canton_Vianden
LUX	Canton_Wiltz
VNM	Cao_Bang
BHR	Capital_Governorate
ISL	Capital_Region
SLB	Capital_Territory
COL	Caqueta
VEN	Carabobo
ROU	Caras_Severin
NIC	Carazo
ECU	Carchi
AUT	Carinthia
IRL	Carlow
MAR	Casablanca_Settat
COL	Casanare
SYC	Cascade
BFA	Cascades
PRT	Castelo_Branco
ESP	Castilla_La_Mancha
ESP	Castilla_Y_Leon
LCA	Castries
BHS	Cat_Island
ESP	Catalunya
ARG	Catamarca
COL	Cauca
IRL	Cavan
GUF	Cayenne
CYM	Cayman_Brac
BLZ	Cayo
BRA	Ceara
ISR	Center
FJI	Central
BHS	Central_Abaco
BHS	Central_Andros
SRB	Central_Banat_District
SDN	Central_Darfur
BWA	Central_District
BHS	Central_Eleuthera
SSD	Central_Equatoria
FIN	Central_Finland
IDN	Central_Java
IDN	Central_Kalimantan
COD	Central_Kasai
SLB	Central_Province
MWI	Central_Region
IDN	Central_Sulawesi
TGO	Centrale_Region
BFA	Centre
HTI	Centre_Department
BFA	Centre_Est
BFA	Centre_Nord
BFA	Centre_Ouest
