outer_postcode,region,lat,long
BN91,BN,,
EH77,EH,,
S94,S,,
KW3,KW,58.3064743,-3.280445081
KA9,KA,55.49722944,-4.605333461
KW2,KW,58.3482575,-3.164491
SR43,SR,,
PH17,PH,56.68612046,-4.376055538
PO24,PO,,
KW7,KW,58.1868018,-3.5017754
PA73,PA,56.4966395,-6.183616167
M32,M,53.45091707,-2.309579226
EH40,EH,55.99075877,-2.662123318
EN77,EN,,
FK6,FK,56.0212401,-3.9153807
KA10,KA,55.55042174,-4.647721028
AB38,AB,57.48637551,-3.226527509
SS16,SS,51.5626222,0.452008862
TR24,TR,49.95544035,-6.335318824
LL19,LL,53.3311521,-3.410514293
CM8,CM,51.80544029,0.637344761
HS4,HS,57.8696368,-6.694676
FY8,FY,53.75077626,-3.002411146
ME99,ME,51.278325,0.5191
SG18,SG,52.08249533,-0.264468865
S4,S,53.40095426,-1.449688783
LD4,LD,52.11783709,-3.556805
SG17,SG,52.0346411,-0.335624038
PR6,PR,53.66772827,-2.611873917
NN7,NN,52.20832887,-0.928643635
TN37,TN,50.87228528,0.557246472
NE40,NE,54.9659615,-1.774311172
CF46,CF,51.66477282,-3.300631251
DT1,DT,50.7118552,-2.444817027
NG14,NG,53.0179617,-1.038995738
B24,B,52.51960887,-1.827144825
TQ12,TQ,50.52934566,-3.612239136
EC3V,ECV,51.51297598,-0.085872571
B49,B,52.21771068,-1.867322282
LN8,LN,53.37482805,-0.326433762
WD17,WD,51.66390256,-0.405517962
CH41,CH,53.39419149,-3.032648881
TW7,TW,51.47301017,-0.335827939
IP4,IP,52.06042875,1.180214669
NP19,NP,51.58834125,-2.963775533
BA1,BA,51.39281399,-2.361247229
WR15,WR,52.305304,-2.569053269
LL22,LL,53.26788295,-3.597740416
IV44,IV,57.1087692,-5.8830102
LA1,LA,54.04670108,-2.799466949
BL7,BL,53.63177522,-2.422384708
YO21,YO,54.47697378,-0.711291955
PE23,PE,53.1727244,0.088787117
WC2N,WCN,51.50906595,-0.124910705
PL26,PL,50.34490358,-4.827425946
NR21,NR,52.84127719,0.852588088
G5,G,55.84764017,-4.251830735
IV51,IV,57.47496642,-6.243834572
LL39,LL,52.71010258,-4.012310263
HP22,HP,51.8073146,-0.768880722
LD7,LD,52.35105633,-3.09226799
IV55,IV,57.4561907,-6.609800339
EH19,EH,55.87240868,-3.105097044
OX2,OX,51.76580639,-1.280735179
B33,B,52.48027199,-1.788410168
SM2,SM,51.35183112,-0.198793657
EX7,EX,50.58421671,-3.470273421
G78,G,55.79284446,-4.410008704
N81,N,51.56631433,-0.076735333
GL17,GL,51.85498023,-2.510270381
B25,B,52.46529898,-1.821660285
PA24,PA,56.1583886,-4.904453133
ST13,ST,53.10098919,-2.019330801
AB32,AB,57.15511494,-2.318514153
CB8,CB,52.2300266,0.42773375
NG21,NG,53.14171017,-1.10438207
GU9,GU,51.2190967,-0.794298826
GU2,GU,51.24576173,-0.594224721
PO15,PO,50.86684985,-1.227267478
WA8,WA,53.37304339,-2.741633683
PA25,PA,56.21400033,-5.043772
TR14,TR,50.21064966,-5.296729183
G12,G,55.880548,-4.300651681
BT82,BT,54.82649081,-7.430190924
CF48,CF,51.74164527,-3.371557001
LS19,LS,53.85973218,-1.683965349
CT50,CT,51.07953373,1.143560091
TA15,TA,50.95115836,-2.71692132
RG9,RG,51.54501641,-0.925931087
LE7,LE,52.67994927,-1.071006348
NG23,NG,53.11602294,-0.800046808
BT36,BT,54.67685729,-5.956237049
LL56,LL,53.18436147,-4.20593237
GU18,GU,51.34805726,-0.668428669
LS9,LS,53.79954901,-1.510242031
HP3,HP,51.73601448,-0.470550016
SP11,SP,51.22764657,-1.512613493
BH5,BH,50.7253001,-1.832281384
MK6,MK,52.02953084,-0.742937078
EX16,EX,50.92264712,-3.491662921
DT3,DT,50.64225253,-2.468317028
PL12,PL,50.41929799,-4.250073567
SY3,SY,52.69896163,-2.773188794
B46,B,52.50885558,-1.694988998
N9,N,51.62850915,-0.058026114
ME3,ME,51.43557544,0.547053119
ML10,ML,55.6799083,-4.069434591
SM7,SM,51.32291723,-0.201441526
B45,B,52.3885186,-2.009131366
M11,M,53.47886406,-2.181285543
LS99,LS,53.77591375,-1.54654075
PA2,PA,55.82873839,-4.434866999
RM6,RM,51.57580126,0.129535261
LN2,LN,53.25685708,-0.506720228
PA4,PA,55.87483769,-4.395338995
LE67,LE,52.71549351,-1.362329482
W3,W,51.51065486,-0.267983473
B28,B,52.42720812,-1.84321561
RG5,RG,51.45201993,-0.899861684
PH2,PH,56.38717797,-3.403892626
NR17,NR,52.51532457,0.994377151
SW1A,SWA,51.50447095,-0.132200849
M26,M,53.56230941,-2.334955716
CF42,CF,51.66734153,-3.523860494
WR9,WR,52.26705329,-2.158166162
M23,M,53.39957482,-2.288940673
SP3,SP,51.10212898,-2.01589975
CA17,CA,54.48016936,-2.350929617
M16,M,53.45503211,-2.264505682
CA16,CA,54.5739325,-2.483648649
PH14,PH,56.45287966,-3.180911829
M4,M,53.48490247,-2.230017298
BB7,BB,53.87113365,-2.38888791
NP16,NP,51.65045549,-2.690077578
BS28,BS,51.22608903,-2.815044683
NW9,NW,51.58808427,-0.255298496
BA13,BA,51.26211018,-2.18180561
WS5,WS,52.56597456,-1.958311101
RG26,RG,51.34012335,-1.129889266
B68,B,52.47857212,-2.001390353
TQ3,TQ,50.44393455,-3.576401951
S80,S,53.29251161,-1.152232416
SW95,SW,51.48039841,-0.136274227
N17,N,51.59809565,-0.071699437
ML11,ML,55.66715931,-3.789191958
CF99,CF,51.464504,-3.161341
E20,E,51.54647951,-0.010048731
TA22,TA,51.04575425,-3.545080292
CF45,CF,51.66962144,-3.362281217
BA21,BA,50.95209642,-2.633703197
SK23,SK,53.32776137,-1.948401132
PA36,PA,56.52412757,-4.769619
G20,G,55.88585416,-4.282631855
SO22,SO,51.06649992,-1.335826844
NE48,NE,55.13191165,-2.258349998
HU12,HU,53.72397343,-0.127073822
WD25,WD,51.6871326,-0.387819359
PO31,PO,50.75539315,-1.307352798
LS17,LS,53.86001254,-1.527719226
HU7,HU,53.79088634,-0.329060812
WS13,WS,52.69258098,-1.819138576
LE87,LE,52.6277038,-1.133666902
BR1,BR,51.41202267,0.020878467
IG9,IG,51.62592582,0.040422267
PH34,PH,56.92054904,-4.928000417
GL13,GL,51.69250161,-2.461348513
B32,B,52.44843164,-1.994531413
EC4N,ECN,51.51286274,-0.091403395
EH39,EH,56.0470396,-2.734299575
EH11,EH,55.93268918,-3.251723234
DL9,DL,54.37540136,-1.707557808
ST19,ST,52.7085794,-2.147397595
BD23,BD,53.99328266,-2.056495412
KA13,KA,55.65566569,-4.700155371
AB99,AB,57.11134,-2.093992
M35,M,53.50721125,-2.154798305
WS1,WS,52.57937472,-1.978675192
NE62,NE,55.16149155,-1.593515825
CM1,CM,51.74669596,0.457324294
TN1,TN,51.13478113,0.266536828
GU46,GU,51.33852833,-0.831993296
N11,N,51.61376457,-0.138994755
BT35,BT,54.16195581,-6.442130865
SE19,SE,51.41798038,-0.086109746
S14,S,53.34601678,-1.444383115
KA17,KA,55.61063215,-4.279157511
PE29,PE,52.33229129,-0.179188471
DL17,DL,54.68047554,-1.541100672
WD7,WD,51.6869882,-0.30994584
PA31,PA,56.05247636,-5.45844045
SA6,SA,51.67616498,-3.922551604
